outfit_id,top_id,bottom_id,dress_id,outerwear_id,shoes_id,season,occasion,is_valid,notes
OFT103,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT104,,,,,,winter,party,true,AI generated top-bottom outfit
OFT105,,,,,,fall,formal,true,AI generated top-bottom outfit
OFT106,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT107,,,,,,spring,casual,true,AI generated top-bottom outfit
OFT108,,,,,,winter,formal,true,AI generated top-bottom outfit
OFT109,,,,,,spring,romantic,true,AI generated top-bottom outfit
OFT110,,,,,,fall,casual,true,AI generated top-bottom outfit
OFT111,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT112,,,,,,spring,party,true,AI generated top-bottom outfit
OFT113,,,,,,spring,party,true,AI generated top-bottom outfit
OFT114,,,,,,spring,classy,true,AI generated top-bottom outfit
OFT115,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT116,,,,,,spring,casual,true,AI generated top-bottom outfit
OFT117,,,,,,spring,formal,true,AI generated top-bottom outfit
OFT118,,,,,,spring,casual,true,AI generated top-bottom outfit
OFT119,,,,,,winter,classy,true,AI generated top-bottom outfit
OFT120,,,,,,fall,party,true,AI generated top-bottom outfit
OFT121,,,,,,spring,formal,true,AI generated top-bottom outfit
OFT122,,,,,,spring,formal,true,AI generated top-bottom outfit
OFT123,,,,,,fall,casual,true,AI generated top-bottom outfit
OFT124,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT125,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT126,,,,,,fall,classy,true,AI generated top-bottom outfit
OFT127,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT128,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT129,,,,,,winter,formal,true,AI generated top-bottom outfit
OFT130,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT131,,,,,,winter,classy,true,AI generated top-bottom outfit
OFT132,,,,,,fall,classy,true,AI generated top-bottom outfit
OFT133,,,,,,fall,party,true,AI generated top-bottom outfit
OFT134,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT135,,,,,,summer,party,true,AI generated top-bottom outfit
OFT136,,,,,,fall,classy,true,AI generated top-bottom outfit
OFT137,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT138,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT139,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT140,,,,,,spring,romantic,true,AI generated top-bottom outfit
OFT141,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT142,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT143,,,,,,spring,classy,true,AI generated top-bottom outfit
OFT144,,,,,,winter,formal,true,AI generated top-bottom outfit
OFT145,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT146,,,,,,spring,party,true,AI generated top-bottom outfit
OFT147,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT148,,,,,,summer,party,true,AI generated top-bottom outfit
OFT149,,,,,,fall,party,true,AI generated top-bottom outfit
OFT150,,,,,,spring,classy,true,AI generated top-bottom outfit
OFT151,,,,,,spring,romantic,true,AI generated top-bottom outfit
OFT152,,,,,,spring,casual,true,AI generated top-bottom outfit
OFT153,,,,,,spring,romantic,true,AI generated top-bottom outfit
OFT154,,,,,,fall,classy,true,AI generated top-bottom outfit
OFT155,,,,,,fall,party,true,AI generated top-bottom outfit
OFT156,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT157,,,,,,spring,casual,true,AI generated top-bottom outfit
OFT158,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT159,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT160,,,,,,spring,party,true,AI generated top-bottom outfit
OFT161,,,,,,spring,classy,true,AI generated top-bottom outfit
OFT162,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT163,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT164,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT165,,,,,,winter,classy,true,AI generated top-bottom outfit
OFT166,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT167,,,,,,fall,casual,true,AI generated top-bottom outfit
OFT168,,,,,,summer,romantic,true,AI generated top-bottom outfit
OFT169,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT170,,,,,,fall,party,true,AI generated top-bottom outfit
OFT171,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT172,,,,,,summer,casual,true,AI generated top-bottom outfit
OFT173,,,,,,fall,formal,true,AI generated top-bottom outfit
OFT174,,,,,,fall,classy,true,AI generated top-bottom outfit
OFT175,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT176,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT177,,,,,,summer,casual,true,AI generated top-bottom outfit
OFT178,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT179,,,,,,summer,casual,true,AI generated top-bottom outfit
OFT180,,,,,,fall,party,true,AI generated top-bottom outfit
OFT181,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT182,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT183,,,,,,fall,party,true,AI generated top-bottom outfit
OFT184,,,,,,spring,formal,true,AI generated top-bottom outfit
OFT185,,,,,,summer,formal,true,AI generated top-bottom outfit
OFT186,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT187,,,,,,summer,party,true,AI generated top-bottom outfit
OFT188,,,,,,winter,casual,true,AI generated top-bottom outfit
OFT189,,,,,,summer,casual,true,AI generated top-bottom outfit
OFT190,,,,,,spring,classy,true,AI generated top-bottom outfit
OFT191,,,,,,winter,formal,true,AI generated top-bottom outfit
OFT192,,,,,,summer,party,true,AI generated top-bottom outfit
OFT193,,,,,,spring,formal,true,AI generated top-bottom outfit
OFT194,,,,,,fall,formal,true,AI generated top-bottom outfit
OFT195,,,,,,spring,party,true,AI generated top-bottom outfit
OFT196,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT197,,,,,,fall,classy,true,AI generated top-bottom outfit
OFT198,,,,,,winter,romantic,true,AI generated top-bottom outfit
OFT199,,,,,,fall,romantic,true,AI generated top-bottom outfit
OFT200,,,,,,spring,casual,true,AI generated top-bottom outfit
